"QUESTION_ID","ANSWER_INDEX"
"93","1"
"94","2"
"95","0"
"96","1"
"97","1"
"98","1"
"99","1"
"100","1"
"101","2"
"102","1"
"103","1"
"104","1"
"105","1"
"106","2"
"107","2"
"108","3"
"109","1"
"110","3"
"111","3"
"112","1"
"113","1"
"114","1"
"115","2"
"116","1"
"117","2"
"118","1"
"119","1"
"120","0"
"121","2"
"122","3"
"123","1"
"124","1"
"125","1"
"126","2"
"127","1"
"128","1"
"129","1"
"130","2"
"131","1"
"132","4"
"133","2"
"134","1"
"135","1"
"136","2"
"137","1"
"138","2"
"139","2"
"140","4"
"141","4"
"142","1"
"143","1"
"144","0"
"144","1"
"144","2"
"144","4"
"145","5"
"146","0"
"146","1"
"146","2"
"147","1"
"148","0"
"148","1"
"148","4"
"148","5"
"149","1"
"150","1"
"150","2"
"150","3"
"151","2"
"152","1"
"152","2"
"152","4"
"153","0"
"154","1"
"155","1"
"156","3"
"157","2"
"158","2"
"159","2"
"160","3"
"161","0"
"162","0"
"163","1"
"164","2"
"165","3"
"166","1"
"167","2"
"168","1"
"169","2"
"170","0"
"171","2"
"172","3"
"173","1"
"174","2"
"175","2"
"176","1"
"177","3"
"178","0"
"179","3"
"180","1"
"181","0"
"182","3"
"183","4"
"184","2"
"184","3"
"184","5"
"185","2"
"186","2"
"186","4"
"187","1"
"187","4"
"187","5"
"188","2"
"189","1"
"189","5"
"190","2"
"191","1"
"191","5"
"192","5"
"193","2"
"194","1"
"194","4"
"194","5"
"195","5"
"196","1"
"196","3"
"196","4"
"196","5"
"197","1"
"197","4"
"198","0"
"199","1"
"199","2"
"199","4"
"199","5"
"200","1"
"200","4"
"201","0"
"201","4"
"201","5"
"202","1"
"202","4"
"202","5"
"203","0"
"203","1"
"203","4"
"204","1"
"204","3"
"205","1"
"206","1"
"207","2"
"208","0"
"208","1"
"208","2"
"208","3"
"209","2"
"210","0"
"210","1"
"210","2"
"211","2"
"212","0"
"212","2"
"212","4"
"213","1"
"214","2"
"215","3"
"216","1"
"217","0"
"218","3"
"219","1"
"220","1"
"221","2"
"222","0"
"223","1"
"224","2"
"225","3"
"226","1"
"227","0"
"228","3"
"229","1"
"230","1"
"231","2"
"232","0"
"233","3"
"234","2"
"235","1"
"236","2"
"237","1"
"238","2"
"239","2"
"240","1"
"241","2"
"242","2"
"243","1"
"244","1"
"245","3"
"246","1"
"247","1"
"248","2"
"249","2"
"250","0"
"251","1"
"252","1"
"253","0"
"253","1"
"253","2"
"254","1"
"255","0"
"255","1"
"255","2"
"255","4"
"256","2"
"257","3"
"258","1"
"258","2"
"258","3"
"258","5"
"259","1"
"259","4"
"260","1"
"260","3"
"260","4"
"261","1"
"261","4"
"262","0"
"262","1"
"263","0"
"263","1"
"263","2"
"263","4"
"264","0"
"265","0"
"265","1"
"265","2"
"265","4"
"266","1"
"266","3"
"267","0"
"268","0"
"268","1"
"268","2"
"268","4"
"269","1"
"270","2"
"271","0"
"271","1"
"271","2"
"271","4"
"272","0"
"272","4"
"273","0"
"273","1"
"273","2"
"273","4"
"274","0"
"274","1"
"274","2"
"274","3"
"275","1"
"275","3"
"275","4"
"276","1"
"276","2"
"276","3"
"277","1"
"277","2"
"277","3"
"278","1"
"278","2"
"278","3"
"278","4"
"279","1"
"279","4"
"280","1"
"280","2"
"280","3"
"280","4"
"281","1"
"281","3"
"282","1"
"282","2"
"283","1"
"284","1"
"285","1"
"286","2"
"287","0"
"288","3"
"289","2"
"290","1"
"291","2"
"292","2"
"293","1"
"294","3"
"295","2"
"296","0"
"297","3"
"298","2"
"299","0"
"300","1"
"301","2"
"302","1"
"303","3"
"304","2"
"305","2"
"306","1"
"307","0"
"308","3"
"309","1"
"310","2"
"311","1"
"312","1"
"313","2"
"314","1"
"315","0"
"315","2"
"316","1"
"317","1"
"318","1"
"319","0"
"319","2"
"319","3"
"320","0"
"321","2"
"322","1"
"323","1"
"324","1"
"325","2"
"326","0"
"326","2"
"327","4"
"328","0"
"328","1"
"328","3"
"329","2"
"330","0"
"330","3"
"331","1"
"332","1"
"333","3"
"334","2"
"335","1"
"336","1"
"337","1"
"338","1"
"339","0"
"340","3"
"341","2"
"342","1"
"343","4"
"344","1"
"345","0"
"345","1"
"345","3"
"346","1"
"347","1"
"348","4"
"349","3"
"350","1"
"351","2"
"352","1"
"353","1"
"354","4"
"355","2"
"356","0"
"356","2"
"357","1"
"358","1"
"359","4"
"360","3"
"361","0"
"361","4"
"362","0"
"363","4"
"364","2"
"365","3"
"366","0"
"366","1"
"366","2"
"366","4"
"367","1"
"367","2"
"368","3"
"369","0"
"369","1"
"369","2"
"369","4"
"370","0"
"371","1"
"371","3"
"372","2"
"373","0"
"373","1"
"373","2"
"374","0"
"374","1"
"374","4"
"375","1"
"375","2"
"375","3"
"376","1"
"377","0"
"377","1"
"377","3"
"378","1"
"378","4"
"379","1"
"380","0"
"380","1"
"380","2"
"380","4"
"381","0"
"381","2"
"381","4"
"382","0"
"382","1"
"382","2"
"382","4"
"383","1"
"384","2"
"385","1"
"386","3"
"387","0"
"388","2"
"389","0"
"390","1"
"391","1"
"392","1"
"393","1"
"394","3"
"395","0"
"396","0"
"396","1"
"397","0"
"398","3"
"399","0"
"399","1"
"399","2"
"399","4"
"400","0"
"401","2"
"402","1"
"403","1"
"404","1"
"405","1"
"405","3"
"406","1"
"407","0"
"407","2"
"407","3"
"408","1"
"409","1"
"410","0"
"410","1"
"410","2"
"410","4"
"411","1"
"411","3"
"412","1"
"412","3"
