"QUESTION_ID","OPTION"
"93","509 BCE"
"93","753 BCE"
"93","616 BCE"
"93","264 BCE"
"94","Aeneas and Lavinia"
"94","Tarquinius and Numa"
"94","Romulus and Remus"
"94","Jupiter and Mars"
"95","Rhea Silvia"
"95","Lavinia"
"95","Lucretia"
"95","Egeria"
"96","A golden eagle"
"96","A she-wolf"
"96","A lion"
"96","A bear"
"97","Five kings"
"97","Seven kings"
"97","Ten kings"
"97","Three kings"
"98","510 BCE"
"98","509 BCE"
"98","508 BCE"
"98","511 BCE"
"99","A military defeat in war"
"99","The rape of Lucretia"
"99","Economic collapse"
"99","Religious displeasure"
"100","Romulus"
"100","Lucius Junius Brutus"
"100","Numa Pompilius"
"100","Servius Tullius"
"101","The Greeks"
"101","The Phoenicians"
"101","The Etruscans"
"101","The Egyptians"
"102","Sicily"
"102","Tuscany"
"102","Campania"
"102","The Latium region"
"103","Plebeians"
"103","Patricians"
"103","Slaves"
"103","Freedmen"
"104","To command armies"
"104","To advise the king"
"104","To judge criminals"
"104","To collect taxes"
"105","The Comitia Centuriata"
"105","The Comitia Curiata"
"105","The Comitia Tributa"
"105","The Comitia Plebis"
"106","Military commander of armies"
"106","High priest of state"
"106","Head of household"
"106","Collector of taxes"
"107","Maritime trade"
"107","Mining precious metals"
"107","Agriculture and land"
"107","Manufacturing goods"
"108","To regulate trade"
"108","To manage ceremonies"
"108","To organize military training"
"108","To provide protection and support"
"109","Leading military campaigns"
"109","Maintaining the sacred fire"
"109","Collecting tribute"
"109","Writing records"
"110","To lead the army"
"110","To manage trade"
"110","To judge legal cases"
"110","To provide protection and support"
"111","Jupiter"
"111","Mars"
"111","Vesta"
"111","Neptune"
"112","Religious ceremonies"
"112","Military organization and voting"
"112","Trade regulations"
"112","Criminal trials"
"113","Romulus"
"113","Numa Pompilius"
"113","Servius Tullius"
"113","Tarquinius Priscus"
"114","Romulus"
"114","Tullus Hostilius"
"114","Numa Pompilius"
"114","Ancus Marcius"
"115","Democratic government"
"115","Naval dominance"
"115","Architectural and urban styles"
"115","Agricultural reforms"
"116","The Colosseum"
"116","The Temple of Jupiter"
"116","The Pantheon"
"116","The Roman Forum"
"117","Numa Pompilius"
"117","Tarquinius Superbus"
"117","Servius Tullius"
"117","Tullus Hostilius"
"118","Dreams and visions"
"118","Bird observations (augury)"
"118","Animal sacrifice patterns"
"118","Water divination"
"119","Military barracks"
"119","Great sewer system"
"119","Temple dedication"
"119","Public market area"
"120","Haruspicy"
"120","Augury"
"120","Sacrificial ritual"
"120","Priestly prophecy"
"121","Servius Tullius"
"121","Tarquinius Priscus"
"121","Tarquinius Superbus"
"121","Tullus Hostilius"
"122","Romulus"
"122","Numa Pompilius"
"122","Tullus Hostilius"
"122","Servius Tullius"
"123","Abolished the Senate"
"123","Tied power to wealth, not birth"
"123","Removed patrician privileges"
"123","Established military rule"
"123","Created direct democracy"
"124","Rome rejected it entirely"
"124","Rome adopted and adapted it"
"124","Rome conquered Etruria"
"124","It had no real impact"
"124","Rome remained isolated"
"125","It eliminated social classes"
"125","It linked property to power"
"125","It freed enslaved people through military service"
"125","It removed military training"
"125","It abolished the patricians"
"126","Loss of political voice"
"126","Strengthened patrician control"
"126","Power moved to wealth"
"126","Religion gained authority"
"126","Democracy was created"
"127","Society was completely unified"
"127","Resentment of royal power"
