"ID","CHAPTER_ID","DIFFICULTY","QUESTION","TEXT_REFERENCE"
"93","1","1","According to Roman legend, in what year was Rome founded?","#introduction-to-the-regal-period"
"94","1","1","Who were the legendary twin founders of Rome?","#the-foundation-myth-romulus-and-remus"
"95","1","1","According to the legend, who was the mother of Romulus and Remus?","#the-foundation-myth-romulus-and-remus"
"96","1","1","In the legend, what animal nursed the infant twins Romulus and Remus?","#the-foundation-myth-romulus-and-remus"
"97","1","1","How many kings ruled Rome during the Regal Period?","#the-seven-kings-of-rome"
"98","1","1","In what year did the Roman Kingdom end and the Republic begin?","#the-end-of-the-kingdom-and-transition-to-the-republic"
"99","1","1","According to tradition, what event led to the expulsion of Tarquinius Superbus?","#7-tarquinius-superbus-534-509-bce"
"100","1","1","Which legendary figure led the revolt against Tarquinius Superbus?","#the-end-of-the-kingdom-and-transition-to-the-republic"
"101","1","1","Which civilization significantly influenced Rome during the Kingdom period?","#etruscan-influence"
"102","1","1","From which region of Italy did the Etruscans come?","#etruscan-influence"
"103","1","1","Which social class held the most political power in Early Rome?","#patricians-patres-familias"
"104","1","1","What was the primary role of the Roman Senate?","#the-senate"
"105","1","1","Which assembly was organized by family groups called curiae?","#assemblies-of-the-people"
"106","1","1","What was the role of the paterfamilias in Early Rome?","#patricians-patres-familias"
"107","1","1","What was the primary economic basis of Early Rome?","#economic-basis"
"108","1","1","What was the main purpose of the patron-client relationship?","#plebeians"
"109","1","1","Which Vestal Virgin's primary duty was especially important?","#religious-practice"
"110","1","1","What was the primary role of the Pontifex Maximus?","#religious-authority"
"111","1","1","Which of these was NOT a major Roman god during the Kingdom?","#the-roman-pantheon"
"112","1","1","What was the Comitia Centuriata primarily used for?","#assemblies-of-the-people"
"113","1","1","Which king is credited with establishing religious practices and the calendar?","#2-numa-pompilius-715-673-bce"
"114","1","1","Which king is associated with the combat of the Horatii and Curiatii?","#3-tullus-hostilius-673-642-bce"
"115","1","1","What did King Tarquinius Priscus introduce from Etruscan culture?","#5-tarquinius-priscus-616-579-bce"
"116","1","1","Which structures did Tarquinius Priscus begin to construct?","#5-tarquinius-priscus-616-579-bce"
"117","1","1","Which king reorganized Rome's military based on wealth and property?","#6-servius-tullius-579-534-bce"
"118","1","1","What was used to observe the divine will in Roman religion?","#religious-practice"
"119","1","1","What was the primary purpose of the Cloaca Maxima?","#infrastructure-and-urban-development"
"120","1","1","What was divination through examining animal organs called?","#religious-practice"
"121","1","1","Which king is legendary for the rape of Lucretia incident?","#7-tarquinius-superbus-534-509-bce"
"122","1","1","Which king established the Servian system of centuries?","#6-servius-tullius-579-534-bce"
"123","1","2","How did Servius Tullius's reforms differ most significantly from earlier kings?","#6-servius-tullius-579-534-bce"
"124","1","2","What can we infer about Etruscan influence on Rome from the later kings' practices?","#etruscan-influence"
"125","1","2","Why was Servius Tullius's wealth-based military system revolutionary?","#6-servius-tullius-579-534-bce"
"126","1","2","What does the shift from Comitia Curiata to Comitia Centuriata represent?","#assemblies-of-the-people"
"127","1","2","What does the Lucretia legend reveal about late Kingdom tensions?","#7-tarquinius-superbus-534-509-bce"
"128","1","2","Why would Tarquinius Priscus build the Temple of Jupiter?","#5-tarquinius-priscus-616-579-bce"
